Date,Item Description,Quantity,Amount
2024-10-31,Doohickey,13,811.94
2024-07-09,Gadget,45,918.26
2024-12-27,Thingamajig,82,907.86
2024-11-29,Contraption,64,346.56
2024-09-24,Doohickey,9,562.85
2024-08-14,Gadget,6,335.34
2024-01-11,Doohickey,13,47.0
2024-07-24,Widget,55,680.45
2024-01-24,Contraption,7,162.24
2024-06-18,Doohickey,74,395.22
2024-12-04,Contraption,62,432.63
2024-12-11,Gadget,44,551.48
2024-06-29,Widget,64,462.43
2024-09-30,Thingamajig,43,422.52
2024-06-03,Contraption,12,35.55
2024-03-27,Thingamajig,6,528.57
2024-04-20,Gadget,44,782.49
2024-07-03,Contraption,48,691.25
2024-07-26,Gadget,38,558.68
2024-08-12,Doohickey,56,508.55
2024-02-04,Contraption,73,398.28
2024-01-30,Contraption,42,866.87
2024-12-11,Contraption,58,221.6
2024-04-24,Gadget,98,703.2
2024-02-08,Widget,63,482.68
2024-05-11,Gadget,73,823.68
2024-05-23,Doohickey,36,502.35
2024-01-25,Thingamajig,14,862.71
2024-01-18,Contraption,31,552.23
2024-02-25,Contraption,4,296.91
2024-06-28,Doohickey,84,311.36
2024-10-26,Doohickey,88,90.49
2024-09-09,Gadget,73,232.86
2024-10-05,Widget,9,78.83
2024-05-29,Doohickey,46,26.3
2024-02-01,Thingamajig,34,457.87
2024-07-15,Widget,87,240.52
2024-07-03,Doohickey,12,460.53
2024-10-17,Thingamajig,65,131.88
2024-08-29,Doohickey,13,596.08
2024-02-06,Widget,36,560.14
2024-09-27,Contraption,46,755.81
2024-03-12,Contraption,11,545.24
2024-09-07,Doohickey,20,485.04
2024-01-18,Contraption,59,401.79
2024-02-17,Contraption,8,536.88
2024-12-10,Gadget,65,846.82
2024-02-07,Doohickey,8,188.75
2024-09-24,Gadget,67,837.95
2024-02-09,Contraption,21,806.81
2024-05-19,Contraption,44,144.09
2024-04-10,Contraption,13,729.28
2024-10-19,Contraption,81,388.67
2024-01-13,Gadget,67,60.72
2024-10-05,Thingamajig,93,69.93
2024-05-10,Gadget,64,157.93
2024-05-21,Gadget,11,543.44
2024-02-26,Gadget,25,994.09
2024-02-27,Thingamajig,22,899.06
2024-01-09,Gadget,12,714.8
2024-08-13,Widget,18,513.6
2024-06-21,Gadget,25,495.51
2024-09-02,Thingamajig,61,61.58
2024-11-28,Contraption,24,646.36
2024-12-02,Gadget,2,315.58
